,Title,Release Year
0,Hangmen,1987
1,A Fool and His Money,1989
2,Who Shot Patakango?,1989
3,Love Potion No. 9,1992
4,The Vanishing,1993
5,When the Party's Over,1993
6,The Thing Called Love,1993
7,Demolition Man,1993
8,Fire on the Amazon,1993
9,Wrestling Ernest Hemingway,1993
10,Speed,1994
11,Who Do I Gotta Kill?,1994
12,While You Were Sleeping,1995
13,The Net,1995
14,Two If by Sea,1996
15,A Time to Kill,1996
16,In Love and War,1996
17,Speed 2: Cruise Control,1997
18,Hope Floats,1998
19,Making Sandwiches,1998
20,Practical Magic,1998
21,The Prince of Egypt,1998
22,Forces of Nature,1999
23,Gun Shy,2000
24,28 Days,2000
25,Miss Congeniality,2000
26,Murder by Numbers,2002
27,Divine Secrets of the Ya-Ya Sisterhood,2002
28,Two Weeks Notice,2002
29,Crash,2004
30,Loverboy,2005
31,Miss Congeniality 2: Armed and Fabulous,2005
32,The Lake House,2006
33,Infamous,2006
34,Premonition,2007
35,The Proposal,2009
36,All About Steve,2009
37,The Blind Side,2009
38,Extremely Loud & Incredibly Close,2011
39,The Heat,2013
40,Gravity,2013
41,The Prime Ministers: The Pioneers,2013
42,Minions,2015
43,Our Brand Is Crisis,2015
44,Ocean's 8,2018
45,Bird Box,2018
46,The Unforgivable,2021
47,The Lost City,2022
48,Bullet Train,2022
